"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048872","GO:0048872","homeostasis of number of cells","13/161","304/18614",2.50262887323959e-06,0.000547658618427264,0.000464742572337563,"567/6229/3303/3304/51705/6218/6223/972/80177/3988/3398/132299/5052",13
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","6/161","49/18614",3.92147583389255e-06,0.000792138118446294,0.000672207638894779,"3105/567/3122/972/3133/3134",6
"GO:0001914","GO:0001914","regulation of T cell mediated cytotoxicity","6/161","50/18614",4.42455358609096e-06,0.000829919836933919,0.000704269168552975,"3105/567/3106/3122/3133/3134",6
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","7/161","78/18614",5.01575702547164e-06,0.000878091863259235,0.00074514790336305,"6234/6169/6229/6232/6227/6218/6223",7
"GO:0019882","GO:0019882","antigen processing and presentation","8/161","114/18614",6.66152697750808e-06,0.00109332311518351,0.000927792934959514,"3105/567/3106/3122/972/3133/811/3134",8
"GO:0001906","GO:0001906","cell killing","10/161","197/18614",8.52422265110362e-06,0.00131674168716459,0.00111738571841402,"3105/567/3106/3122/6223/3133/140823/5052/1776/3134",10
"GO:0002486","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","4/161","16/18614",9.04913733494705e-06,0.00132016859119839,0.0011202937858528,"3105/3106/3133/3134",4
"GO:0002476","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","4/161","17/18614",1.17538533660298e-05,0.00147132288680763,0.00124856317447859,"3105/3106/3133/3134",4
"GO:0002484","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","4/161","17/18614",1.17538533660298e-05,0.00147132288680763,0.00124856317447859,"3105/3106/3133/3134",4
"GO:0001913","GO:0001913","T cell mediated cytotoxicity","6/161","59/18614",1.1766100770358e-05,0.00147132288680763,0.00124856317447859,"3105/567/3106/3122/3133/3134",6
"GO:0009615","GO:0009615","response to virus","14/161","408/18614",1.28292810303106e-05,0.00153134963570889,0.00129950181536687,"10410/8692/3429/6210/958/10581/3315/8673/22900/10964/811/54541/3459/2023",14
"GO:0002262","GO:0002262","myeloid cell homeostasis","9/161","171/18614",1.8245858103744e-05,0.00190741703098412,0.0016186322421908,"567/6229/3303/3304/6218/6223/3988/3398/5052",9
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","12/161","313/18614",1.8461483469145e-05,0.00190741703098412,0.0016186322421908,"10410/8692/3303/3429/3304/10581/3065/972/3678/8673/140823/3326",12
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","7/161","95/18614",1.85542298779628e-05,0.00190741703098412,0.0016186322421908,"3105/567/3106/3122/3133/1776/3134",7
"GO:0000028","GO:0000028","ribosomal small subunit assembly","4/161","19/18614",1.88853171384566e-05,0.00190741703098412,0.0016186322421908,"6234/6169/6232/6223",4
"GO:0045953","GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","4/161","20/18614",2.34479014789115e-05,0.00228052552902302,0.00193525175169028,"3105/3106/3133/3134",4
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","6/161","67/18614",2.46171035361498e-05,0.00230873263878319,0.00195918827767026,"3105/567/3106/3122/3133/3134",6
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","8/161","139/18614",2.83971413542821e-05,0.00231986121774939,0.00196863197898563,"3105/567/3106/3122/3133/5052/1776/3134",8
"GO:0034101","GO:0034101","erythrocyte homeostasis","8/161","139/18614",2.83971413542821e-05,0.00231986121774939,0.00196863197898563,"567/6229/3303/3304/6218/6223/3398/5052",8
"GO:0002716","GO:0002716","negative regulation of natural killer cell mediated immunity","4/161","21/18614",2.8770324745428e-05,0.00231986121774939,0.00196863197898563,"3105/3106/3133/3134",4
"GO:1900118","GO:1900118","negative regulation of execution phase of apoptosis","4/161","21/18614",2.8770324745428e-05,0.00231986121774939,0.00196863197898563,"100463498/100463486/100463488/100462977",4
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","6/161","69/18614",2.91528637417098e-05,0.00231986121774939,0.00196863197898563,"3105/567/3106/3122/3133/3134",6
"GO:0042026","GO:0042026","protein refolding","4/161","22/18614",3.49273853541737e-05,0.00269762688059001,0.00228920355401814,"2280/567/3303/3304",4
"GO:0031343","GO:0031343","positive regulation of cell killing","6/161","74/18614",4.34766858227342e-05,0.00326199362772857,0.00276812462817228,"3105/567/3106/3122/3133/3134",6
"GO:0002443","GO:0002443","leukocyte mediated immunity","13/161","401/18614",4.75002700801132e-05,0.00340323414985831,0.00288798119824029,"3105/567/3106/3122/958/972/8673/3133/23075/5052/1776/6284/3134",13
"GO:0031341","GO:0031341","regulation of cell killing","7/161","110/18614",4.79511285395116e-05,0.00340323414985831,0.00288798119824029,"3105/567/3106/3122/3133/1776/3134",7
"GO:0045765","GO:0045765","regulation of angiogenesis","12/161","349/18614",5.33836657931019e-05,0.00368909227296541,0.00313056012421044,"641700/2022/7075/10266/7048/958/3315/5797/3678/3339/23166/133",12
"GO:0046718","GO:0046718","viral entry into host cell","8/161","153/18614",5.6324769050684e-05,0.00379253444941272,0.00321834105479887,"10410/8692/3303/3304/10581/972/3678/8673",8
"GO:1901342","GO:1901342","regulation of vasculature development","12/161","355/18614",6.28566643846414e-05,0.00412654001685171,0.00350177785532331,"641700/2022/7075/10266/7048/958/3315/5797/3678/3339/23166/133",12
"GO:0001911","GO:0001911","negative regulation of leukocyte mediated cytotoxicity","4/161","26/18614",6.94839935115748e-05,0.00445036504783891,0.00377657546249047,"3105/3106/3133/3134",4
"GO:0044409","GO:0044409","entry into host","8/161","160/18614",7.71961736203904e-05,0.00466812707107891,0.00396136810417046,"10410/8692/3303/3304/10581/972/3678/8673",8
"GO:0051701","GO:0051701","biological process involved in interaction with host","9/161","206/18614",7.82643437047749e-05,0.00466812707107891,0.00396136810417046,"10410/8692/3303/3304/10581/972/3678/8673/3326",9
"GO:0045446","GO:0045446","endothelial cell differentiation","7/161","119/18614",7.91088796019154e-05,0.00466812707107891,0.00396136810417046,"5175/7075/1901/4855/5138/7132/54538",7
"GO:0006898","GO:0006898","receptor-mediated endocytosis","10/161","256/18614",7.99945613855868e-05,0.00466812707107891,0.00396136810417046,"302/567/10268/10266/7048/3339/23166/133/1175/10203",10
"GO:0001570","GO:0001570","vasculogenesis","6/161","83/18614",8.30942453100964e-05,0.0047435975692242,0.0040254122956859,"2022/7075/10266/7048/51162/133",6
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","7/161","123/18614",9.74549499271394e-05,0.0054450361384823,0.00462065238512327,"3105/567/3106/3122/958/3133/3134",7
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","7/161","125/18614",0.000107848111958562,0.00568167991357375,0.00482146806310804,"3105/3106/6223/114769/3133/22900/3134",7
"GO:0031342","GO:0031342","negative regulation of cell killing","4/161","29/18614",0.000108181262634687,0.00568167991357375,0.00482146806310804,"3105/3106/3133/3134",4
"GO:1900117","GO:1900117","regulation of execution phase of apoptosis","4/161","29/18614",0.000108181262634687,0.00568167991357375,0.00482146806310804,"100463498/100463486/100463488/100462977",4
"GO:0002699","GO:0002699","positive regulation of immune effector process","10/161","267/18614",0.000113194656511345,0.00572532760678221,0.00485850745322401,"3105/567/3106/3122/958/6223/972/8673/3133/3134",10
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","7/161","126/18614",0.000113372823896677,0.00572532760678221,0.00485850745322401,"3105/567/3106/3122/958/3133/3134",7
"GO:0006364","GO:0006364","rRNA processing","9/161","218/18614",0.000120500152347357,0.00591874678629098,0.00502264278132762,"6234/6154/6229/6232/6165/6227/11224/6218/6223",9
"GO:0010803","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","5/161","56/18614",0.000121710710761505,0.00591874678629098,0.00502264278132762,"3303/3304/114769/22900/7132",5
"GO:0006457","GO:0006457","protein folding","9/161","220/18614",0.0001291197664337,0.00607866665062045,0.0051583506230663,"2280/567/3303/3304/3315/972/3326/10598/811",9
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","7/161","129/18614",0.000131342758706093,0.00607866665062045,0.0051583506230663,"3105/567/3106/3122/958/3133/3134",7
"GO:0097084","GO:0097084","vascular associated smooth muscle cell development","3/161","12/18614",0.000131943640169599,0.00607866665062045,0.0051583506230663,"2022/10266/133",3
"GO:0003158","GO:0003158","endothelium development","7/161","137/18614",0.000190805203391002,0.00863887007077194,0.00733093676186483,"5175/7075/1901/4855/5138/7132/54538",7
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","6/161","97/18614",0.000196966813150019,0.00876669239545676,0.00743940666259749,"3105/567/3106/3122/3133/3134",6
"GO:0044000","GO:0044000","movement in host","8/161","185/18614",0.000210696943459995,0.00903547004277804,0.00766749111338483,"10410/8692/3303/3304/10581/972/3678/8673",8
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","9/161","235/18614",0.000211725587673302,0.00903547004277804,0.00766749111338483,"8692/3303/3304/958/114769/22900/83483/6358/7132",9
"GO:0001885","GO:0001885","endothelial cell development","5/161","63/18614",0.000213327929418217,0.00903547004277804,0.00766749111338483,"5175/4855/5138/7132/54538",5
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","13/161","475/18614",0.000255707905588499,0.0106585549218317,0.0090448393672657,"6234/6169/6154/6229/6232/6165/6227/11224/6218/6223/3326/8669/8894",13
"GO:2000272","GO:2000272","negative regulation of signaling receptor activity","5/161","66/18614",0.00026564843335222,0.0108998872809833,0.00924963377313567,"100463498/100463486/10268/100463488/100462977",5
"GO:0042254","GO:0042254","ribosome biogenesis","10/161","298/18614",0.000275185628739929,0.0111174994010931,0.00943429920716485,"6234/6169/6154/6229/6232/6165/6227/11224/6218/6223",10
"GO:0070613","GO:0070613","regulation of protein processing","5/161","67/18614",0.000285086443821258,0.011207857532332,0.00951097702968164,"6281/302/114769/22900/2023",5
"GO:0002263","GO:0002263","cell activation involved in immune response","10/161","300/18614",0.000290226318430531,0.011207857532332,0.00951097702968164,"3122/958/972/8673/23075/351/9452/1776/6284/3134",10
"GO:0002449","GO:0002449","lymphocyte mediated immunity","10/161","300/18614",0.000290226318430531,0.011207857532332,0.00951097702968164,"3105/567/3106/3122/958/972/3133/23075/5052/3134",10
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","9/161","246/18614",0.000296951242706825,0.011301361787654,0.00959032465004347,"3105/567/3106/3122/958/8673/3133/1776/3134",9
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","7/161","148/18614",0.000306293377081946,0.0114903772602456,0.00975072299672901,"3105/567/3106/3122/958/3133/3134",7
"GO:0009595","GO:0009595","detection of biotic stimulus","4/161","38/18614",0.000316471387084498,0.0117049839786464,0.00993283804978329,"3105/3106/23643/706",4
"GO:0033209","GO:0033209","tumor necrosis factor-mediated signaling pathway","6/161","109/18614",0.000370733461138479,0.0134473021569706,0.0114113675657621,"3303/3304/114769/22900/83483/7132",6
"GO:1903317","GO:1903317","regulation of protein maturation","5/161","71/18614",0.000373820661637035,0.0134473021569706,0.0114113675657621,"6281/302/114769/22900/2023",5
"GO:0050729","GO:0050729","positive regulation of inflammatory response","7/161","154/18614",0.000389676868425502,0.0138282629254779,0.011734650504364,"8692/6223/8673/5138/3133/351/7132",7
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","5/161","72/18614",0.000398942115149822,0.0139423176819933,0.0118314372601033,"3105/3122/7048/3133/4860",5
"GO:0016072","GO:0016072","rRNA metabolic process","9/161","257/18614",0.000408818911467434,0.0139423176819933,0.0118314372601033,"6234/6154/6229/6232/6165/6227/11224/6218/6223",9
"GO:0034612","GO:0034612","response to tumor necrosis factor","9/161","257/18614",0.000408818911467434,0.0139423176819933,0.0118314372601033,"8692/3303/3304/958/114769/22900/83483/6358/7132",9
"GO:0043122","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","9/161","258/18614",0.000420511515004173,0.0141572210051405,0.0120138040116577,"2280/958/3315/3065/972/114769/22900/7132/6284",9
"GO:0031349","GO:0031349","positive regulation of defense response","12/161","441/18614",0.00046597865768239,0.0150857473807996,0.0128017505933189,"8692/3303/3304/958/6223/8673/5138/23643/3133/351/7132/3134",12
"GO:0006458","GO:0006458","'de novo' protein folding","4/161","42/18614",0.00046717074118189,0.0150857473807996,0.0128017505933189,"2280/3303/3304/972",4
"GO:0010755","GO:0010755","regulation of plasminogen activation","3/161","18/18614",0.000471070557968609,0.0150857473807996,0.0128017505933189,"6281/302/2023",3
"GO:0043116","GO:0043116","negative regulation of vascular permeability","3/161","18/18614",0.000471070557968609,0.0150857473807996,0.0128017505933189,"10266/5138/133",3
"GO:0019058","GO:0019058","viral life cycle","10/161","320/18614",0.000482340980828481,0.0152605712729589,0.0129501059786163,"10410/8692/3303/3429/3304/10581/972/3678/8673/3326",10
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity","5/161","76/18614",0.000512372634473423,0.0160177445015144,0.0135926424458676,"3105/3106/3133/5052/3134",5
"GO:0002697","GO:0002697","regulation of immune effector process","11/161","384/18614",0.000525827445500511,0.0162449749633452,0.0137854699953509,"3105/567/3106/3122/958/6223/972/8673/3133/1776/3134",11
"GO:0045824","GO:0045824","negative regulation of innate immune response","5/161","78/18614",0.000577430437543321,0.0176317712673112,0.0149623039936256,"3105/3106/6223/3133/3134",5
"GO:0002228","GO:0002228","natural killer cell mediated immunity","5/161","79/18614",0.000612192147702953,0.0184783514927351,0.0156807111516897,"3105/3106/3133/5052/3134",5
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","9/161","274/18614",0.000648367088500026,0.0187516466035781,0.0159126291176394,"2280/8692/2022/3303/7048/3065/5138/5829/3326",9
"GO:0002720","GO:0002720","positive regulation of cytokine production involved in immune response","5/161","80/18614",0.000648499639626977,0.0187516466035781,0.0159126291176394,"3105/567/972/3133/3134",5
"GO:0002396","GO:0002396","MHC protein complex assembly","3/161","20/18614",0.000649809535767559,0.0187516466035781,0.0159126291176394,"567/3122/811",3
"GO:0002501","GO:0002501","peptide antigen assembly with MHC protein complex","3/161","20/18614",0.000649809535767559,0.0187516466035781,0.0159126291176394,"567/3122/811",3
"GO:0071559","GO:0071559","response to transforming growth factor beta","9/161","280/18614",0.000756340171197095,0.02142305153377,0.0181795807499864,"2280/8692/2022/3303/7048/3065/5138/5829/3326",9
"GO:0002456","GO:0002456","T cell mediated immunity","6/161","125/18614",0.000766857137918653,0.02142305153377,0.0181795807499864,"3105/567/3106/3122/3133/3134",6
"GO:0031623","GO:0031623","receptor internalization","6/161","125/18614",0.000766857137918653,0.02142305153377,0.0181795807499864,"302/10268/10266/133/1175/10203",6
"GO:0042269","GO:0042269","regulation of natural killer cell mediated cytotoxicity","4/161","48/18614",0.000780115669754247,0.0215640394607858,0.0182992229680858,"3105/3106/3133/3134",4
"GO:0043114","GO:0043114","regulation of vascular permeability","4/161","49/18614",0.000843788977892144,0.0228431943911832,0.0193847126011684,"10266/5138/133/83483",4
"GO:0061028","GO:0061028","establishment of endothelial barrier","4/161","49/18614",0.000843788977892144,0.0228431943911832,0.0193847126011684,"5175/5138/7132/54538",4
"GO:0010469","GO:0010469","regulation of signaling receptor activity","7/161","177/18614",0.000891510182473171,0.0238888340732097,0.0202720414210065,"100463498/100463486/10268/3065/100463488/100462977/351",7
"GO:0097194","GO:0097194","execution phase of apoptosis","5/161","87/18614",0.000949633593533949,0.025189270874951,0.021375590829467,"100463498/100463486/100463488/100462977/1776",5
"GO:1900120","GO:1900120","regulation of receptor binding","3/161","23/18614",0.000990458281300849,0.0260094344669603,0.022071580858041,"302/567/8751",3
"GO:0045785","GO:0045785","positive regulation of cell adhesion","12/161","482/18614",0.00101302296042121,0.0263385969709516,0.0223509078396218,"6281/3105/567/3122/7048/972/7052/3678/3133/4860/811/4651",12
"GO:0007249","GO:0007249","I-kappaB kinase/NF-kappaB signaling","9/161","293/18614",0.00104098829960795,0.0268003458310831,0.0227427474744069,"2280/958/3315/3065/972/114769/22900/7132/6284",9
"GO:0002715","GO:0002715","regulation of natural killer cell mediated immunity","4/161","52/18614",0.00105671747651782,0.0269411659547166,0.0228622472947188,"3105/3106/3133/3134",4
"GO:0002702","GO:0002702","positive regulation of production of molecular mediator of immune response","6/161","134/18614",0.00110125170040495,0.0273493353570638,0.0232086194536033,"3105/567/958/972/3133/3134",6
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","7/161","184/18614",0.00111756647886451,0.0273493353570638,0.0232086194536033,"3105/567/3106/3122/958/3133/3134",7
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","9/161","296/18614",0.00111767223124378,0.0273493353570638,0.0232086194536033,"3122/958/972/8673/23075/9452/1776/6284/3134",9
"GO:0061484","GO:0061484","hematopoietic stem cell homeostasis","3/161","24/18614",0.00112480130181374,0.0273493353570638,0.0232086194536033,"51705/80177/132299",3
"GO:0098581","GO:0098581","detection of external biotic stimulus","3/161","24/18614",0.00112480130181374,0.0273493353570638,0.0232086194536033,"3105/3106/23643",3
"GO:0045766","GO:0045766","positive regulation of angiogenesis","7/161","185/18614",0.00115322988756019,0.0275307425884824,0.0233625614542098,"2022/10266/7048/958/3315/3678/133",7
"GO:1904018","GO:1904018","positive regulation of vasculature development","7/161","185/18614",0.00115322988756019,0.0275307425884824,0.0233625614542098,"2022/10266/7048/958/3315/3678/133",7
"GO:0002274","GO:0002274","myeloid leukocyte activation","8/161","240/18614",0.00117560006359445,0.0278119438468381,0.0236011885692693,"8692/7048/972/8673/351/1776/6284/3459",8
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","12/161","492/18614",0.00120717559369826,0.028303956330818,0.0240187098858948,"10410/3303/3429/3304/10581/972/114769/22900/83483/6358/7132/3459",12
"GO:0016032","GO:0016032","viral process","11/161","426/18614",0.00122610744658488,0.0284934349976274,0.0241795012987442,"10410/8692/3303/3429/3304/10581/3065/972/3678/8673/3326",11
"GO:0046641","GO:0046641","positive regulation of alpha-beta T cell proliferation","3/161","25/18614",0.00127011171625515,0.0292571347972459,0.0248275762078685,"3105/7048/3133",3
"GO:0051607","GO:0051607","defense response to virus","9/161","303/18614",0.001314490874321,0.0299356497792653,0.0254033633634123,"10410/8692/3429/958/10581/8673/22900/10964/54541",9
"GO:0034341","GO:0034341","response to type II interferon","6/161","139/18614",0.00132992016153646,0.0299356497792653,0.0254033633634123,"10410/958/10581/972/6358/3459",6
"GO:0140546","GO:0140546","defense response to symbiont","9/161","304/18614",0.00134475870900696,0.0299356497792653,0.0254033633634123,"10410/8692/3429/958/10581/8673/22900/10964/54541",9
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","7/161","190/18614",0.00134516628863416,0.0299356497792653,0.0254033633634123,"3105/567/3106/3122/958/3133/3134",7
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","4/161","56/18614",0.00139579516176301,0.0308013285276442,0.0261379775095293,"3105/3106/3133/3134",4
"GO:0010954","GO:0010954","positive regulation of protein processing","3/161","26/18614",0.00142671533226519,0.0309632600208957,0.0262753924176199,"6281/302/2023",3
"GO:0031639","GO:0031639","plasminogen activation","3/161","26/18614",0.00142671533226519,0.0309632600208957,0.0262753924176199,"6281/302/2023",3
"GO:0042060","GO:0042060","wound healing","11/161","439/18614",0.00155688300217323,0.0335112685549746,0.0284376299879269,"6281/302/5547/7048/958/7450/3315/3678/4855/10627/2004",11
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","9/161","311/18614",0.00157274079558643,0.0335773766602437,0.0284937292619297,"3105/567/3106/3122/958/972/3133/23075/3134",9
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","6/161","145/18614",0.00165031898238107,0.0344432832751099,0.0292285367753268,"567/3122/958/972/3133/23075",6
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","6/161","145/18614",0.00165031898238107,0.0344432832751099,0.0292285367753268,"3105/7048/958/972/3133/4860",6
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","10/161","377/18614",0.00167139842607995,0.0344432832751099,0.0292285367753268,"3105/567/3122/7048/958/972/8673/3133/4860/3134",10
"GO:0030198","GO:0030198","extracellular matrix organization","9/161","314/18614",0.00167950302027123,0.0344432832751099,0.0292285367753268,"302/2022/7075/10266/55959/64856/351/7132/8751",9
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","5/161","99/18614",0.00169199677931804,0.0344432832751099,0.0292285367753268,"7048/1901/3065/3398/10203",5
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","5/161","99/18614",0.00169199677931804,0.0344432832751099,0.0292285367753268,"3303/3315/3065/972/2023",5
"GO:0043062","GO:0043062","extracellular structure organization","9/161","315/18614",0.00171635595434466,0.0345830198526942,0.0293471170995124,"302/2022/7075/10266/55959/64856/351/7132/8751",9
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","8/161","255/18614",0.00172520015259061,0.0345830198526942,0.0293471170995124,"5175/8692/958/972/3678/351/30844/7132",8
"GO:0031664","GO:0031664","regulation of lipopolysaccharide-mediated signaling pathway","3/161","28/18614",0.00177505167378872,0.0350472608674374,0.0297410715742835,"114769/23643/22900",3
"GO:1903319","GO:1903319","positive regulation of protein maturation","3/161","28/18614",0.00177505167378872,0.0350472608674374,0.0297410715742835,"6281/302/2023",3
"GO:0045229","GO:0045229","external encapsulating structure organization","9/161","317/18614",0.00179200871836023,0.035096224531398,0.0297826220920229,"302/2022/7075/10266/55959/64856/351/7132/8751",9
"GO:0042255","GO:0042255","ribosome assembly","4/161","60/18614",0.00180427169427789,0.035096224531398,0.0297826220920229,"6234/6169/6232/6223",4
"GO:0019724","GO:0019724","B cell mediated immunity","6/161","148/18614",0.00183099115034331,0.035096224531398,0.0297826220920229,"567/3122/958/972/3133/23075",6
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","6/161","148/18614",0.00183099115034331,0.035096224531398,0.0297826220920229,"3105/7048/958/972/3133/4860",6
"GO:0002819","GO:0002819","regulation of adaptive immune response","7/161","205/18614",0.00207393626768516,0.0394649031807335,0.0334898785559838,"3105/567/3106/3122/958/3133/3134",7
"GO:0032757","GO:0032757","positive regulation of interleukin-8 production","4/161","63/18614",0.00216029579927901,0.0407443522542795,0.0345756177986571,"8692/3303/3304/972",4
"GO:0002507","GO:0002507","tolerance induction","3/161","30/18614",0.00217220461370873,0.0407443522542795,0.0345756177986571,"3106/7048/3133",3
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","5/161","105/18614",0.00219173831549405,0.0408191830956552,0.0346391191780583,"3315/23643/3133/351/3459",5
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","9/161","327/18614",0.00221137220498668,0.0408948127485565,0.0347032984281453,"3105/567/3122/7048/958/972/3133/4860/3134",9
"GO:0050900","GO:0050900","leukocyte migration","10/161","393/18614",0.00226388459648224,0.0415731534990374,0.0352789377309746,"5175/1901/6223/972/3655/23075/351/811/83483/6358",10
"GO:0050867","GO:0050867","positive regulation of cell activation","10/161","394/18614",0.00230589994314871,0.0420506475743646,0.035684138740101,"3105/567/3122/7048/958/972/8673/3133/4860/3134",10
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","11/161","463/18614",0.00235897273037947,0.0427218095860447,0.0362536861721476,"3105/3106/3303/3304/958/6223/114769/23643/3133/22900/3134",11
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","3/161","31/18614",0.00238979071058461,0.0429834959314739,0.0364757529510283,"567/3122/972",3
"GO:0051604","GO:0051604","protein maturation","9/161","332/18614",0.00244855787965537,0.043740904707313,0.037118489303476,"6281/2280/302/5547/114769/22900/811/84316/2023",9
"GO:0043547","GO:0043547","positive regulation of GTPase activity","8/161","272/18614",0.00257516952900469,0.045465319095889,0.0385818256808422,"6281/958/1901/7052/25780/3655/6358/9771",8
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","5/161","109/18614",0.00257971536378045,0.045465319095889,0.0385818256808422,"3315/23643/3133/351/3459",5
"GO:0061384","GO:0061384","heart trabecula morphogenesis","3/161","32/18614",0.00262040515590279,0.0458745595960048,0.038929106772254,"2280/2022/1901",3
"GO:0048545","GO:0048545","response to steroid hormone","9/161","339/18614",0.0028141486273834,0.0483003548726065,0.0409876342908198,"2022/3303/3304/7048/3065/133/811/706/54541",9
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","9/161","339/18614",0.0028141486273834,0.0483003548726065,0.0409876342908198,"6154/8692/2022/958/114769/5138/811/7132/706",9
"GO:0104004","GO:0104004","cellular response to environmental stimulus","9/161","339/18614",0.0028141486273834,0.0483003548726065,0.0409876342908198,"6154/8692/2022/958/114769/5138/811/7132/706",9
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","4/161","68/18614",0.00285669219984625,0.0485268246315505,0.0411798163085712,"3105/3106/3133/3134",4
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","3/161","33/18614",0.00286430229165664,0.0485268246315505,0.0411798163085712,"3303/3304/972",3
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","7/161","218/18614",0.00292496186071841,0.04923685798876,0.0417823499267266,"2280/2022/3303/7048/3065/5829/3326",7
