	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007517	GO:0014812	muscle cell migration	6/183	110/18614	0.000765008	0.037122554	0.031720169	PDGFRB/TPM1/AGT/IGFBP5/DDR2/MDK	6
GO:0085029	GO:0006939	smooth muscle contraction	6/183	113/18614	0.000880844	0.040149424	0.034306544	EDNRA/MYH11/MYLK/ATP1A2/TBX2/AGT	6
GO:0014812	GO:0032355	response to estradiol	6/183	120/18614	0.001203621	0.047907521	0.040935618	PDGFRB/MAP1B/AGT/CRYAB/NR2F2/CCND1	6
GO:0060047	GO:0007263	nitric oxide mediated signal transduction	5/183	29/18614	8.53E-06	0.002409625	0.002058956	GUCY1A2/AGT/CD36/RASD1/DDAH2	5
GO:0010744	GO:0014911	positive regulation of smooth muscle cell migration	5/183	46/18614	8.60E-05	0.011578071	0.009893134	PDGFRB/AGT/IGFBP5/DDR2/MDK	5
GO:0031589	GO:0001974	blood vessel remodeling	5/183	50/18614	0.000128734	0.014310582	0.012227987	EDNRA/AXL/AGT/CST3/FLNA	5
GO:0006939	GO:0035904	aorta development	5/183	63/18614	0.000385268	0.024618497	0.021035807	PDGFRB/COL3A1/EDNRA/MYLK/TBX2	5
GO:1900026	GO:0030239	myofibril assembly	5/183	70/18614	0.000627676	0.033468143	0.028597578	PDGFRB/MYL9/MYH11/TPM1/CSRP2	5
GO:0071294	GO:0055002	striated muscle cell development	5/183	71/18614	0.000669914	0.035058817	0.029956765	PDGFRB/MYL9/MYH11/TPM1/CSRP2	5
GO:0090257	GO:0006123	"mitochondrial electron transport, cytochrome c to oxygen"	4/183	25/18614	9.73E-05	0.012459874	0.010646609	COX4I2/CYCS/COX4I1/COX8A	4
GO:0044703	GO:0072012	glomerulus vasculature development	4/183	29/18614	0.000177155	0.01668804	0.014259457	PDGFRB/NOTCH3/ACTA2/EDNRA	4
GO:0003015	GO:0061437	renal system vasculature development	4/183	31/18614	0.000231121	0.019776145	0.016898155	PDGFRB/NOTCH3/ACTA2/EDNRA	4
GO:0051017	GO:0061440	kidney vasculature development	4/183	31/18614	0.000231121	0.019776145	0.016898155	PDGFRB/NOTCH3/ACTA2/EDNRA	4
GO:0043434	GO:1990776	response to angiotensin	4/183	33/18614	0.000296	0.020851785	0.017817259	COL3A1/AGT/DDR2/AHCYL1	4
GO:1903522	GO:0035909	aorta morphogenesis	4/183	37/18614	0.000463335	0.026722126	0.022833299	PDGFRB/COL3A1/MYLK/TBX2	4
GO:0032355	GO:0085029	extracellular matrix assembly	4/183	42/18614	0.000755785	0.037122554	0.031720169	COL1A2/COL3A1/MYH11/AGT	4
GO:0030336	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	4/183	44/18614	0.000902735	0.04049412	0.034601077	ARPC2/MDK/FLNA/ILK	4
GO:0061572	GO:0010043	response to zinc ion	4/183	49/18614	0.001356224	0.049369707	0.042185014	MT1A/MT2A/MT1E/CRIP1	4
GO:0060485	GO:1904752	regulation of vascular associated smooth muscle cell migration	4/183	49/18614	0.001356224	0.049369707	0.042185014	TPM1/AGT/IGFBP5/DDR2	4
GO:0090130	GO:0014820	tonic smooth muscle contraction	3/183	11/18614	0.00014554	0.014689113	0.012551431	EDNRA/MYLK/AGT	3
GO:0010043	GO:0072537	fibroblast activation	3/183	13/18614	0.000248636	0.020075589	0.017154021	PDGFRB/ACTA2/DDR2	3
GO:1904752	GO:0010744	positive regulation of macrophage derived foam cell differentiation	3/183	19/18614	0.0008066	0.037990872	0.032462122	PLA2G5/AGT/CD36	3
GO:0044706	GO:0071294	cellular response to zinc ion	3/183	20/18614	0.000942108	0.041042459	0.035069617	MT1A/MT2A/MT1E	3
